Started
2019 day 12:
.....
0 : pos=<x= 2 , y= -1 , z= 1 >, vel=<x= 3 , y= -1 , z= -1 >
0 : pos=<x= 2 , y= 0 , z= 4 >, vel=<x= 3 , y= 1 , z= -2 >
1 : pos=<x= 3 , y= -10 , z= 5 >, vel=<x= 1 , y= -3 , z= 2 >
2 : pos=<x= 1 , y= -8 , z= -4 >, vel=<x= -3 , y= -1 , z= -2 >
3 : pos=<x= 2 , y= 5 , z= -3 >, vel=<x= -1 , y= 3 , z= 2 >
found velocity and position match, step #: 559
0 : pos=<x= 5 , y= 0 , z= 1 >, vel=<x= 3 , y= 0 , z= -3 >
1 : pos=<x= 1 , y= -10 , z= 4 >, vel=<x= -2 , y= 0 , z= -1 >
2 : pos=<x= 1 , y= -8 , z= -3 >, vel=<x= 0 , y= 0 , z= 1 >
3 : pos=<x= 1 , y= 5 , z= 0 >, vel=<x= -1 , y= 0 , z= 3 >
found velocity and position match, step #: 560
0 : pos=<x= 5 , y= -1 , z= -3 >, vel=<x= 0 , y= -1 , z= -4 >
1 : pos=<x= 0 , y= -7 , z= 0 >, vel=<x= -1 , y= 3 , z= -4 >
2 : pos=<x= 2 , y= -7 , z= 1 >, vel=<x= 1 , y= 1 , z= 4 >
3 : pos=<x= 1 , y= 2 , z= 4 >, vel=<x= 0 , y= -3 , z= 4 >
found velocity and position match, step #: 561
0 : pos=<x= 2 , y= -3 , z= -4 >, vel=<x= -3 , y= -2 , z= -1 >
1 : pos=<x= 2 , y= -2 , z= -3 >, vel=<x= 2 , y= 5 , z= -3 >
2 : pos=<x= 2 , y= -4 , z= 4 >, vel=<x= 0 , y= 3 , z= 3 >
3 : pos=<x= 2 , y= -4 , z= 5 >, vel=<x= 1 , y= -6 , z= 1 >
found velocity and position match, step #: 562
0 : pos=<x= -1 , y= -6 , z= -2 >, vel=<x= -3 , y= -3 , z= 2 >
1 : pos=<x= 4 , y= 0 , z= -5 >, vel=<x= 2 , y= 2 , z= -2 >
2 : pos=<x= 2 , y= 1 , z= 6 >, vel=<x= 0 , y= 5 , z= 2 >
3 : pos=<x= 3 , y= -8 , z= 3 >, vel=<x= 1 , y= -4 , z= -2 >
found velocity and position match, step #: 563
0 : pos=<x= -1 , y= -8 , z= 1 >, vel=<x= 0 , y= -2 , z= 3 >
1 : pos=<x= 3 , y= 1 , z= -4 >, vel=<x= -1 , y= 1 , z= 1 >
2 : pos=<x= 3 , y= 3 , z= 5 >, vel=<x= 1 , y= 2 , z= -1 >
3 : pos=<x= 3 , y= -9 , z= 0 >, vel=<x= 0 , y= -1 , z= -3 >
found velocity and position match, step #: 564
0 : pos=<x= 2 , y= -9 , z= 3 >, vel=<x= 3 , y= -1 , z= 2 >
1 : pos=<x= 1 , y= 1 , z= 0 >, vel=<x= -2 , y= 0 , z= 4 >
2 : pos=<x= 3 , y= 2 , z= 1 >, vel=<x= 0 , y= -1 , z= -4 >
3 : pos=<x= 2 , y= -7 , z= -2 >, vel=<x= -1 , y= 2 , z= -2 >
found velocity and position match, step #: 565
0 : pos=<x= 5 , y= -7 , z= 2 >, vel=<x= 3 , y= 2 , z= -1 >
1 : pos=<x= 2 , y= 0 , z= 5 >, vel=<x= 1 , y= -1 , z= 5 >
2 : pos=<x= 0 , y= -2 , z= -4 >, vel=<x= -3 , y= -4 , z= -5 >
3 : pos=<x= 1 , y= -4 , z= -1 >, vel=<x= -1 , y= 3 , z= 1 >
found velocity and position match, step #: 566
0 : pos=<x= 5 , y= -2 , z= 0 >, vel=<x= 0 , y= 5 , z= -2 >
1 : pos=<x= 2 , y= -4 , z= 7 >, vel=<x= 0 , y= -4 , z= 2 >
2 : pos=<x= 0 , y= -7 , z= -6 >, vel=<x= 0 , y= -5 , z= -2 >
3 : pos=<x= 1 , y= 0 , z= 1 >, vel=<x= 0 , y= 4 , z= 2 >
found velocity and position match, step #: 567
0 : pos=<x= 2 , y= 2 , z= -1 >, vel=<x= -3 , y= 4 , z= -1 >
1 : pos=<x= 1 , y= -7 , z= 6 >, vel=<x= -1 , y= -3 , z= -1 >
2 : pos=<x= 3 , y= -9 , z= -5 >, vel=<x= 3 , y= -2 , z= 1 >
3 : pos=<x= 2 , y= 1 , z= 2 >, vel=<x= 1 , y= 1 , z= 1 >
found velocity and position match, step #: 568
0 : pos=<x= -1 , y= 3 , z= -1 >, vel=<x= -3 , y= 1 , z= 0 >
1 : pos=<x= 3 , y= -9 , z= 2 >, vel=<x= 2 , y= -2 , z= -4 >
2 : pos=<x= 3 , y= -8 , z= -1 >, vel=<x= 0 , y= 1 , z= 4 >
3 : pos=<x= 3 , y= 1 , z= 2 >, vel=<x= 1 , y= 0 , z= 0 >
found velocity and position match, step #: 569
0 : pos=<x= -1 , y= 1 , z= 1 >, vel=<x= 0 , y= -2 , z= 2 >
1 : pos=<x= 4 , y= -8 , z= -4 >, vel=<x= 1 , y= 1 , z= -6 >
2 : pos=<x= 2 , y= -6 , z= 5 >, vel=<x= -1 , y= 2 , z= 6 >
3 : pos=<x= 3 , y= 0 , z= 0 >, vel=<x= 0 , y= -1 , z= -2 >
found velocity and position match, step #: 570
0 : pos=<x= 2 , y= -4 , z= 2 >, vel=<x= 3 , y= -5 , z= 1 >
1 : pos=<x= 2 , y= -4 , z= -7 >, vel=<x= -2 , y= 4 , z= -3 >
2 : pos=<x= 2 , y= -3 , z= 8 >, vel=<x= 0 , y= 3 , z= 3 >
3 : pos=<x= 2 , y= -2 , z= -1 >, vel=<x= -1 , y= -2 , z= -1 >
found velocity and position match, step #: 571
0 : pos=<x= 5 , y= -7 , z= 2 >, vel=<x= 3 , y= -3 , z= 0 >
1 : pos=<x= 0 , y= 2 , z= -7 >, vel=<x= -2 , y= 6 , z= 0 >
2 : pos=<x= 2 , y= -1 , z= 8 >, vel=<x= 0 , y= 2 , z= 0 >
3 : pos=<x= 1 , y= -7 , z= -1 >, vel=<x= -1 , y= -5 , z= 0 >
found velocity and position match, step #: 572
0 : pos=<x= 5 , y= -8 , z= 1 >, vel=<x= 0 , y= -1 , z= -1 >
1 : pos=<x= 1 , y= 5 , z= -4 >, vel=<x= 1 , y= 3 , z= 3 >
2 : pos=<x= 1 , y= 0 , z= 5 >, vel=<x= -1 , y= 1 , z= -3 >
3 : pos=<x= 1 , y= -10 , z= 0 >, vel=<x= 0 , y= -3 , z= 1 >
found velocity and position match, step #: 573
0 : pos=<x= 2 , y= -8 , z= -1 >, vel=<x= -3 , y= 0 , z= -2 >
1 : pos=<x= 3 , y= 5 , z= 2 >, vel=<x= 2 , y= 0 , z= 6 >
2 : pos=<x= 1 , y= 0 , z= -1 >, vel=<x= 0 , y= 0 , z= -6 >
3 : pos=<x= 2 , y= -10 , z= 2 >, vel=<x= 1 , y= 0 , z= 2 >
found velocity and position match, step #: 574
0 : pos=<x= -1 , y= -7 , z= -1 >, vel=<x= -3 , y= 1 , z= 0 >
1 : pos=<x= 2 , y= 2 , z= 6 >, vel=<x= -1 , y= -3 , z= 4 >
2 : pos=<x= 4 , y= -1 , z= -5 >, vel=<x= 3 , y= -1 , z= -4 >
3 : pos=<x= 3 , y= -7 , z= 2 >, vel=<x= 1 , y= 3 , z= 0 >
found velocity and position match, step #: 575
0 : pos=<x= -1 , y= -4 , z= 0 >, vel=<x= 0 , y= 3 , z= 1 >
1 : pos=<x= 2 , y= -4 , z= 7 >, vel=<x= 0 , y= -6 , z= 1 >
2 : pos=<x= 4 , y= -3 , z= -6 >, vel=<x= 0 , y= -2 , z= -1 >
3 : pos=<x= 3 , y= -2 , z= 1 >, vel=<x= 0 , y= 5 , z= -1 >
found velocity and position match, step #: 576
0 : pos=<x= 2 , y= 1 , z= 2 >, vel=<x= 3 , y= 5 , z= 2 >
1 : pos=<x= 3 , y= -8 , z= 5 >, vel=<x= 1 , y= -4 , z= -2 >
2 : pos=<x= 1 , y= -6 , z= -4 >, vel=<x= -3 , y= -3 , z= 2 >
3 : pos=<x= 2 , y= 0 , z= -1 >, vel=<x= -1 , y= 2 , z= -2 >
found velocity and position match, step #: 577
0 : pos=<x= 5 , y= 3 , z= 3 >, vel=<x= 3 , y= 2 , z= 1 >
1 : pos=<x= 1 , y= -9 , z= 0 >, vel=<x= -2 , y= -1 , z= -5 >
2 : pos=<x= 1 , y= -8 , z= 1 >, vel=<x= 0 , y= -2 , z= 5 >
3 : pos=<x= 1 , y= 1 , z= -2 >, vel=<x= -1 , y= 1 , z= -1 >
found velocity and position match, step #: 578
0 : pos=<x= 5 , y= 2 , z= 1 >, vel=<x= 0 , y= -1 , z= -2 >
1 : pos=<x= 0 , y= -7 , z= -4 >, vel=<x= -1 , y= 2 , z= -4 >
2 : pos=<x= 2 , y= -9 , z= 5 >, vel=<x= 1 , y= -1 , z= 4 >
3 : pos=<x= 1 , y= 1 , z= 0 >, vel=<x= 0 , y= 0 , z= 2 >
found velocity and position match, step #: 579
0 : pos=<x= 2 , y= -2 , z= -2 >, vel=<x= -3 , y= -4 , z= -3 >
1 : pos=<x= 2 , y= -4 , z= -5 >, vel=<x= 2 , y= 3 , z= -1 >
2 : pos=<x= 2 , y= -7 , z= 6 >, vel=<x= 0 , y= 2 , z= 1 >
3 : pos=<x= 2 , y= 0 , z= 3 >, vel=<x= 1 , y= -1 , z= 3 >
found velocity and position match, step #: 580
0 : pos=<x= -1 , y= -7 , z= -4 >, vel=<x= -3 , y= -5 , z= -2 >
1 : pos=<x= 4 , y= 0 , z= -3 >, vel=<x= 2 , y= 4 , z= 2 >
2 : pos=<x= 2 , y= -2 , z= 4 >, vel=<x= 0 , y= 5 , z= -2 >
3 : pos=<x= 3 , y= -4 , z= 5 >, vel=<x= 1 , y= -4 , z= 2 >
found velocity and position match, step #: 581
0 : pos=<x= -1 , y= -9 , z= -3 >, vel=<x= 0 , y= -2 , z= 1 >
1 : pos=<x= 3 , y= 1 , z= 0 >, vel=<x= -1 , y= 1 , z= 3 >
2 : pos=<x= 3 , y= 2 , z= 1 >, vel=<x= 1 , y= 4 , z= -3 >
3 : pos=<x= 3 , y= -7 , z= 4 >, vel=<x= 0 , y= -3 , z= -1 >
found velocity and position match, step #: 582
0 : pos=<x= 2 , y= -8 , z= 1 >, vel=<x= 3 , y= 1 , z= 4 >
1 : pos=<x= 1 , y= 1 , z= 4 >, vel=<x= -2 , y= 0 , z= 4 >
2 : pos=<x= 3 , y= 3 , z= -3 >, vel=<x= 0 , y= 1 , z= -4 >
3 : pos=<x= 2 , y= -9 , z= 0 >, vel=<x= -1 , y= -2 , z= -4 >
found velocity and position match, step #: 583
0 : pos=<x= 5 , y= -6 , z= 4 >, vel=<x= 3 , y= 2 , z= 3 >
1 : pos=<x= 2 , y= 0 , z= 5 >, vel=<x= 1 , y= -1 , z= 1 >
2 : pos=<x= 0 , y= 1 , z= -4 >, vel=<x= -3 , y= -2 , z= -1 >
3 : pos=<x= 1 , y= -8 , z= -3 >, vel=<x= -1 , y= 1 , z= -3 >
found velocity and position match, step #: 584
0 : pos=<x= 5 , y= -3 , z= 6 >, vel=<x= 0 , y= 3 , z= 2 >
1 : pos=<x= 2 , y= -2 , z= 3 >, vel=<x= 0 , y= -2 , z= -2 >
2 : pos=<x= 0 , y= -4 , z= -2 >, vel=<x= 0 , y= -5 , z= 2 >
3 : pos=<x= 1 , y= -4 , z= -5 >, vel=<x= 0 , y= 4 , z= -2 >
found velocity and position match, step #: 585
0 : pos=<x= 2 , y= -1 , z= 5 >, vel=<x= -3 , y= 2 , z= -1 >
1 : pos=<x= 1 , y= -7 , z= 0 >, vel=<x= -1 , y= -5 , z= -3 >
2 : pos=<x= 3 , y= -7 , z= 1 >, vel=<x= 3 , y= -3 , z= 3 >
3 : pos=<x= 2 , y= 2 , z= -4 >, vel=<x= 1 , y= 6 , z= 1 >
found velocity and position match, step #: 586
0 : pos=<x= -1 , y= 0 , z= 1 >, vel=<x= -3 , y= 1 , z= -4 >
1 : pos=<x= 3 , y= -10 , z= -2 >, vel=<x= 2 , y= -3 , z= -2 >
2 : pos=<x= 3 , y= -8 , z= 3 >, vel=<x= 0 , y= -1 , z= 2 >
3 : pos=<x= 3 , y= 5 , z= 0 >, vel=<x= 1 , y= 3 , z= 4 >
found velocity and position match, step #: 587
0 : pos=<x= -1 , y= 0 , z= -4 >, vel=<x= 0 , y= 0 , z= -5 >
1 : pos=<x= 4 , y= -10 , z= -1 >, vel=<x= 1 , y= 0 , z= 1 >
2 : pos=<x= 2 , y= -8 , z= 2 >, vel=<x= -1 , y= 0 , z= -1 >
3 : pos=<x= 3 , y= 5 , z= 5 >, vel=<x= 0 , y= 0 , z= 5 >
found velocity and position match, step #: 588
0 : pos=<x= 2 , y= -1 , z= -6 >, vel=<x= 3 , y= -1 , z= -2 >
1 : pos=<x= 2 , y= -7 , z= 1 >, vel=<x= -2 , y= 3 , z= 2 >
2 : pos=<x= 2 , y= -7 , z= 0 >, vel=<x= 0 , y= 1 , z= -2 >
3 : pos=<x= 2 , y= 2 , z= 7 >, vel=<x= -1 , y= -3 , z= 2 >
found velocity and position match, step #: 589
0 : pos=<x= 5 , y= -3 , z= -5 >, vel=<x= 3 , y= -2 , z= 1 >
1 : pos=<x= 0 , y= -2 , z= 2 >, vel=<x= -2 , y= 5 , z= 1 >
2 : pos=<x= 2 , y= -4 , z= -1 >, vel=<x= 0 , y= 3 , z= -1 >
3 : pos=<x= 1 , y= -4 , z= 6 >, vel=<x= -1 , y= -6 , z= -1 >
found velocity and position match, step #: 590
0 : pos=<x= 5 , y= -6 , z= -1 >, vel=<x= 0 , y= -3 , z= 4 >
1 : pos=<x= 1 , y= 0 , z= 2 >, vel=<x= 1 , y= 2 , z= 0 >
2 : pos=<x= 1 , y= 1 , z= -1 >, vel=<x= -1 , y= 5 , z= 0 >
3 : pos=<x= 1 , y= -8 , z= 2 >, vel=<x= 0 , y= -4 , z= -4 >
found velocity and position match, step #: 591
0 : pos=<x= 2 , y= -8 , z= 5 >, vel=<x= -3 , y= -2 , z= 6 >
1 : pos=<x= 3 , y= 1 , z= 0 >, vel=<x= 2 , y= 1 , z= -2 >
2 : pos=<x= 1 , y= 3 , z= 1 >, vel=<x= 0 , y= 2 , z= 2 >
3 : pos=<x= 2 , y= -9 , z= -4 >, vel=<x= 1 , y= -1 , z= -6 >
found velocity and position match, step #: 592
0 : pos=<x= -1 , y= -9 , z= 8 >, vel=<x= -3 , y= -1 , z= 3 >
1 : pos=<x= 2 , y= 1 , z= -1 >, vel=<x= -1 , y= 0 , z= -1 >
2 : pos=<x= 4 , y= 2 , z= 2 >, vel=<x= 3 , y= -1 , z= 1 >
3 : pos=<x= 3 , y= -7 , z= -7 >, vel=<x= 1 , y= 2 , z= -3 >
found velocity and position match, step #: 593
0 : pos=<x= -1 , y= -7 , z= 8 >, vel=<x= 0 , y= 2 , z= 0 >
1 : pos=<x= 2 , y= 0 , z= -1 >, vel=<x= 0 , y= -1 , z= 0 >
2 : pos=<x= 4 , y= -2 , z= 2 >, vel=<x= 0 , y= -4 , z= 0 >
3 : pos=<x= 3 , y= -4 , z= -7 >, vel=<x= 0 , y= 3 , z= 0 >
found velocity and position match, step #: 594
0 : pos=<x= 2 , y= -2 , z= 5 >, vel=<x= 3 , y= 5 , z= -3 >
1 : pos=<x= 3 , y= -4 , z= 0 >, vel=<x= 1 , y= -4 , z= 1 >
2 : pos=<x= 1 , y= -7 , z= 1 >, vel=<x= -3 , y= -5 , z= -1 >
3 : pos=<x= 2 , y= 0 , z= -4 >, vel=<x= -1 , y= 4 , z= 3 >
found velocity and position match, step #: 595
0 : pos=<x= 5 , y= 2 , z= -1 >, vel=<x= 3 , y= 4 , z= -6 >
1 : pos=<x= 1 , y= -7 , z= 2 >, vel=<x= -2 , y= -3 , z= 2 >
2 : pos=<x= 1 , y= -9 , z= -1 >, vel=<x= 0 , y= -2 , z= -2 >
3 : pos=<x= 1 , y= 1 , z= 2 >, vel=<x= -1 , y= 1 , z= 6 >
found velocity and position match, step #: 596
0 : pos=<x= 5 , y= 3 , z= -5 >, vel=<x= 0 , y= 1 , z= -4 >
1 : pos=<x= 0 , y= -9 , z= 2 >, vel=<x= -1 , y= -2 , z= 0 >
2 : pos=<x= 2 , y= -8 , z= -1 >, vel=<x= 1 , y= 1 , z= 0 >
3 : pos=<x= 1 , y= 1 , z= 6 >, vel=<x= 0 , y= 0 , z= 4 >
found velocity and position match, step #: 597
0 : pos=<x= 2 , y= 1 , z= -6 >, vel=<x= -3 , y= -2 , z= -1 >
1 : pos=<x= 2 , y= -8 , z= 1 >, vel=<x= 2 , y= 1 , z= -1 >
2 : pos=<x= 2 , y= -6 , z= 0 >, vel=<x= 0 , y= 2 , z= 1 >
3 : pos=<x= 2 , y= 0 , z= 7 >, vel=<x= 1 , y= -1 , z= 1 >
found velocity and position match, step #: 598
0 : pos=<x= -1 , y= -4 , z= -4 >, vel=<x= -3 , y= -5 , z= 2 >
1 : pos=<x= 4 , y= -4 , z= -1 >, vel=<x= 2 , y= 4 , z= -2 >
2 : pos=<x= 2 , y= -3 , z= 2 >, vel=<x= 0 , y= 3 , z= 2 >
3 : pos=<x= 3 , y= -2 , z= 5 >, vel=<x= 1 , y= -2 , z= -2 >
found velocity and position match, step #: 599
0 : pos=<x= -1 , y= -7 , z= 1 >, vel=<x= 0 , y= -3 , z= 5 >
1 : pos=<x= 3 , y= 2 , z= -2 >, vel=<x= -1 , y= 6 , z= -1 >
2 : pos=<x= 3 , y= -1 , z= 3 >, vel=<x= 1 , y= 2 , z= 1 >
3 : pos=<x= 3 , y= -7 , z= 0 >, vel=<x= 0 , y= -5 , z= -5 >
found velocity and position match, step #: 600
0 : pos=<x= 2 , y= -8 , z= 5 >, vel=<x= 3 , y= -1 , z= 4 >
1 : pos=<x= 1 , y= 5 , z= 0 >, vel=<x= -2 , y= 3 , z= 2 >
2 : pos=<x= 3 , y= 0 , z= 1 >, vel=<x= 0 , y= 1 , z= -2 >
3 : pos=<x= 2 , y= -10 , z= -4 >, vel=<x= -1 , y= -3 , z= -4 >
found velocity and position match, step #: 601
0 : pos=<x= 5 , y= -8 , z= 6 >, vel=<x= 3 , y= 0 , z= 1 >
1 : pos=<x= 2 , y= 5 , z= 3 >, vel=<x= 1 , y= 0 , z= 3 >
2 : pos=<x= 0 , y= 0 , z= -2 >, vel=<x= -3 , y= 0 , z= -3 >
3 : pos=<x= 1 , y= -10 , z= -5 >, vel=<x= -1 , y= 0 , z= -1 >
found velocity and position match, step #: 602
0 : pos=<x= 5 , y= -7 , z= 4 >, vel=<x= 0 , y= 1 , z= -2 >
1 : pos=<x= 2 , y= 2 , z= 5 >, vel=<x= 0 , y= -3 , z= 2 >
2 : pos=<x= 0 , y= -1 , z= -4 >, vel=<x= 0 , y= -1 , z= -2 >
3 : pos=<x= 1 , y= -7 , z= -3 >, vel=<x= 0 , y= 3 , z= 2 >
found velocity and position match, step #: 603
0 : pos=<x= 2 , y= -4 , z= 1 >, vel=<x= -3 , y= 3 , z= -3 >
1 : pos=<x= 1 , y= -4 , z= 4 >, vel=<x= -1 , y= -6 , z= -1 >
2 : pos=<x= 3 , y= -3 , z= -3 >, vel=<x= 3 , y= -2 , z= 1 >
3 : pos=<x= 2 , y= -2 , z= 0 >, vel=<x= 1 , y= 5 , z= 3 >
found velocity and position match, step #: 604
0 : pos=<x= -1 , y= 1 , z= -3 >, vel=<x= -3 , y= 5 , z= -4 >
1 : pos=<x= 3 , y= -8 , z= 0 >, vel=<x= 2 , y= -4 , z= -4 >
2 : pos=<x= 3 , y= -6 , z= 1 >, vel=<x= 0 , y= -3 , z= 4 >
3 : pos=<x= 3 , y= 0 , z= 4 >, vel=<x= 1 , y= 2 , z= 4 >
found velocity and position match, step #: 605
0 : pos=<x= -1 , y= 3 , z= -4 >, vel=<x= 0 , y= 2 , z= -1 >
1 : pos=<x= 4 , y= -9 , z= -3 >, vel=<x= 1 , y= -1 , z= -3 >
2 : pos=<x= 2 , y= -8 , z= 4 >, vel=<x= -1 , y= -2 , z= 3 >
3 : pos=<x= 3 , y= 1 , z= 5 >, vel=<x= 0 , y= 1 , z= 1 >
found velocity and position match, step #: 606
0 : pos=<x= 2 , y= 2 , z= -2 >, vel=<x= 3 , y= -1 , z= 2 >
1 : pos=<x= 2 , y= -7 , z= -5 >, vel=<x= -2 , y= 2 , z= -2 >
2 : pos=<x= 2 , y= -9 , z= 6 >, vel=<x= 0 , y= -1 , z= 2 >
3 : pos=<x= 2 , y= 1 , z= 3 >, vel=<x= -1 , y= 0 , z= -2 >
found velocity and position match, step #: 607
0 : pos=<x= 5 , y= -2 , z= 1 >, vel=<x= 3 , y= -4 , z= 3 >
1 : pos=<x= 0 , y= -4 , z= -4 >, vel=<x= -2 , y= 3 , z= 1 >
2 : pos=<x= 2 , y= -7 , z= 5 >, vel=<x= 0 , y= 2 , z= -1 >
3 : pos=<x= 1 , y= 0 , z= 0 >, vel=<x= -1 , y= -1 , z= -3 >
found velocity and position match, step #: 608
0 : pos=<x= 5 , y= -7 , z= 3 >, vel=<x= 0 , y= -5 , z= 2 >
1 : pos=<x= 1 , y= 0 , z= 0 >, vel=<x= 1 , y= 4 , z= 4 >
2 : pos=<x= 1 , y= -2 , z= 1 >, vel=<x= -1 , y= 5 , z= -4 >
3 : pos=<x= 1 , y= -4 , z= -2 >, vel=<x= 0 , y= -4 , z= -2 >
found velocity and position match, step #: 609
0 : pos=<x= 2 , y= -9 , z= 2 >, vel=<x= -3 , y= -2 , z= -1 >
1 : pos=<x= 3 , y= 1 , z= 5 >, vel=<x= 2 , y= 1 , z= 5 >
2 : pos=<x= 1 , y= 2 , z= -4 >, vel=<x= 0 , y= 4 , z= -5 >
3 : pos=<x= 2 , y= -7 , z= -1 >, vel=<x= 1 , y= -3 , z= 1 >
found velocity and position match, step #: 610
0 : pos=<x= -1 , y= -8 , z= 0 >, vel=<x= -3 , y= 1 , z= -2 >
1 : pos=<x= 2 , y= 1 , z= 7 >, vel=<x= -1 , y= 0 , z= 2 >
2 : pos=<x= 4 , y= 3 , z= -6 >, vel=<x= 3 , y= 1 , z= -2 >
3 : pos=<x= 3 , y= -9 , z= 1 >, vel=<x= 1 , y= -2 , z= 2 >
found velocity and position match, step #: 611
0 : pos=<x= -1 , y= -6 , z= -1 >, vel=<x= 0 , y= 2 , z= -1 >
1 : pos=<x= 2 , y= 0 , z= 6 >, vel=<x= 0 , y= -1 , z= -1 >
2 : pos=<x= 4 , y= 1 , z= -5 >, vel=<x= 0 , y= -2 , z= 1 >
3 : pos=<x= 3 , y= -8 , z= 2 >, vel=<x= 0 , y= 1 , z= 1 >
found velocity and position match, step #: 612
0 : pos=<x= 2 , y= -3 , z= -1 >, vel=<x= 3 , y= 3 , z= 0 >
1 : pos=<x= 3 , y= -2 , z= 2 >, vel=<x= 1 , y= -2 , z= -4 >
2 : pos=<x= 1 , y= -4 , z= -1 >, vel=<x= -3 , y= -5 , z= 4 >
3 : pos=<x= 2 , y= -4 , z= 2 >, vel=<x= -1 , y= 4 , z= 0 >
found velocity and position match, step #: 613
0 : pos=<x= 5 , y= -1 , z= 1 >, vel=<x= 3 , y= 2 , z= 2 >
1 : pos=<x= 1 , y= -7 , z= -4 >, vel=<x= -2 , y= -5 , z= -6 >
2 : pos=<x= 1 , y= -7 , z= 5 >, vel=<x= 0 , y= -3 , z= 6 >
3 : pos=<x= 1 , y= 2 , z= 0 >, vel=<x= -1 , y= 6 , z= -2 >
found velocity and position match, step #: 614
0 : pos=<x= 5 , y= 0 , z= 2 >, vel=<x= 0 , y= 1 , z= 1 >
1 : pos=<x= 0 , y= -10 , z= -7 >, vel=<x= -1 , y= -3 , z= -3 >
2 : pos=<x= 2 , y= -8 , z= 8 >, vel=<x= 1 , y= -1 , z= 3 >
3 : pos=<x= 1 , y= 5 , z= -1 >, vel=<x= 0 , y= 3 , z= -1 >
found velocity and position match, step #: 615
0 : pos=<x= 2 , y= 0 , z= 2 >, vel=<x= -3 , y= 0 , z= 0 >
1 : pos=<x= 2 , y= -10 , z= -7 >, vel=<x= 2 , y= 0 , z= 0 >
2 : pos=<x= 2 , y= -8 , z= 8 >, vel=<x= 0 , y= 0 , z= 0 >
3 : pos=<x= 2 , y= 5 , z= -1 >, vel=<x= 1 , y= 0 , z= 0 >
found velocity and position match, step #: 616
0 : pos=<x= -1 , y= -1 , z= 1 >, vel=<x= -3 , y= -1 , z= -1 >
1 : pos=<x= 4 , y= -7 , z= -4 >, vel=<x= 2 , y= 3 , z= 3 >
2 : pos=<x= 2 , y= -7 , z= 5 >, vel=<x= 0 , y= 1 , z= -3 >
3 : pos=<x= 3 , y= 2 , z= 0 >, vel=<x= 1 , y= -3 , z= 1 >
found velocity and position match, step #: 617
0 : pos=<x= -1 , y= -3 , z= -1 >, vel=<x= 0 , y= -2 , z= -2 >
1 : pos=<x= 3 , y= -2 , z= 2 >, vel=<x= -1 , y= 5 , z= 6 >
2 : pos=<x= 3 , y= -4 , z= -1 >, vel=<x= 1 , y= 3 , z= -6 >
3 : pos=<x= 3 , y= -4 , z= 2 >, vel=<x= 0 , y= -6 , z= 2 >
found velocity and position match, step #: 618
0 : pos=<x= 2 , y= -6 , z= -1 >, vel=<x= 3 , y= -3 , z= 0 >
1 : pos=<x= 1 , y= 0 , z= 6 >, vel=<x= -2 , y= 2 , z= 4 >
2 : pos=<x= 3 , y= 1 , z= -5 >, vel=<x= 0 , y= 5 , z= -4 >
3 : pos=<x= 2 , y= -8 , z= 2 >, vel=<x= -1 , y= -4 , z= 0 >
found velocity and position match, step #: 619
0 : pos=<x= 5 , y= -8 , z= 0 >, vel=<x= 3 , y= -2 , z= 1 >
1 : pos=<x= 2 , y= 1 , z= 7 >, vel=<x= 1 , y= 1 , z= 1 >
2 : pos=<x= 0 , y= 3 , z= -6 >, vel=<x= -3 , y= 2 , z= -1 >
3 : pos=<x= 1 , y= -9 , z= 1 >, vel=<x= -1 , y= -1 , z= -1 >
found velocity and position match, step #: 620
0 : pos=<x= 5 , y= -9 , z= 2 >, vel=<x= 0 , y= -1 , z= 2 >
1 : pos=<x= 2 , y= 1 , z= 5 >, vel=<x= 0 , y= 0 , z= -2 >
2 : pos=<x= 0 , y= 2 , z= -4 >, vel=<x= 0 , y= -1 , z= 2 >
3 : pos=<x= 1 , y= -7 , z= -1 >, vel=<x= 0 , y= 2 , z= -2 >
found velocity and position match, step #: 621
0 : pos=<x= 2 , y= -7 , z= 3 >, vel=<x= -3 , y= 2 , z= 1 >
1 : pos=<x= 1 , y= 0 , z= 0 >, vel=<x= -1 , y= -1 , z= -5 >
2 : pos=<x= 3 , y= -2 , z= 1 >, vel=<x= 3 , y= -4 , z= 5 >
3 : pos=<x= 2 , y= -4 , z= -2 >, vel=<x= 1 , y= 3 , z= -1 >
found velocity and position match, step #: 622
0 : pos=<x= -1 , y= -2 , z= 1 >, vel=<x= -3 , y= 5 , z= -2 >
1 : pos=<x= 3 , y= -4 , z= -4 >, vel=<x= 2 , y= -4 , z= -4 >
2 : pos=<x= 3 , y= -7 , z= 5 >, vel=<x= 0 , y= -5 , z= 4 >
3 : pos=<x= 3 , y= 0 , z= 0 >, vel=<x= 1 , y= 4 , z= 2 >
found velocity and position match, step #: 623
0 : pos=<x= -1 , y= 2 , z= -2 >, vel=<x= 0 , y= 4 , z= -3 >
1 : pos=<x= 4 , y= -7 , z= -5 >, vel=<x= 1 , y= -3 , z= -1 >
2 : pos=<x= 2 , y= -9 , z= 6 >, vel=<x= -1 , y= -2 , z= 1 >
3 : pos=<x= 3 , y= 1 , z= 3 >, vel=<x= 0 , y= 1 , z= 3 >
found velocity and position match, step #: 624
0 : pos=<x= 2 , y= 3 , z= -4 >, vel=<x= 3 , y= 1 , z= -2 >
